sub	sess	t	loc	co1	co2	or	resp	rt
3	1	1	2	1.0000	1.0000	0	1	0.931
3	1	2	2	1.0000	1.0000	0	1	0.569
3	1	3	1	1.0000	1.0000	0	1	0.614
3	1	4	1	1.0000	1.0000	1	0	0.423
3	1	5	2	1.0000	1.0000	0	1	0.572
3	1	6	1	1.0000	1.0000	0	1	0.678
3	1	7	1	1.0000	1.0000	1	1	1.197
3	1	8	2	1.0000	1.0000	0	1	0.530
3	1	9	2	1.0000	1.0000	1	1	0.581
3	1	10	2	1.0000	1.0000	1	1	0.601
3	1	11	2	1.0000	1.0000	0	1	0.570
3	1	12	1	1.0000	1.0000	1	1	1.011
3	1	13	2	1.0000	1.0000	1	1	0.599
3	1	14	1	1.0000	1.0000	1	1	0.689
3	1	15	2	1.0000	1.0000	1	1	0.619
3	1	16	2	1.0000	1.0000	1	1	0.520
3	1	17	1	1.0000	1.0000	0	1	0.648
3	1	18	2	1.0000	1.0000	1	1	0.508
3	1	19	2	1.0000	1.0000	0	1	0.452
3	1	20	1	1.0000	1.0000	1	1	0.884
3	1	21	1	1.0000	1.0000	1	0	0.378
3	1	22	1	1.0000	1.0000	1	1	0.852
3	1	23	2	1.0000	1.0000	1	1	0.727
3	1	24	2	1.0000	1.0000	0	1	0.721
3	1	25	1	1.0000	1.0000	0	1	0.657
3	1	26	2	1.0000	1.0000	0	1	0.785
3	1	27	1	1.0000	1.0000	0	1	0.713
3	1	28	2	1.0000	1.0000	1	1	0.478
3	1	29	2	0.2500	0.2500	0	1	0.478
3	1	30	2	0.2629	0.2629	0	1	0.478
3	1	31	2	0.2758	0.2758	1	1	0.478
3	1	32	2	0.2887	0.2887	1	1	0.478
3	1	33	2	0.3016	0.3016	1	1	0.478
3	1	34	1	0.3145	0.3145	0	1	0.478
3	1	35	2	0.3274	0.3274	1	1	0.478
3	1	36	1	0.3403	0.3403	1	1	0.478
3	1	37	1	0.3532	0.3532	0	1	0.478
3	1	38	1	0.3661	0.3661	1	1	0.478
3	1	39	2	0.3790	0.3790	0	1	0.478
3	1	40	2	0.3919	0.3919	0	1	0.478
3	1	41	1	0.4048	0.4048	0	1	0.478
3	1	42	2	0.4177	0.4177	0	1	0.478
3	1	43	2	0.4306	0.4306	0	1	0.478
3	1	44	1	0.4435	0.4435	1	1	0.478
3	1	45	1	0.4565	0.4565	1	1	0.478
3	1	46	2	0.4694	0.4694	1	1	0.478
3	1	47	1	0.4823	0.4823	1	1	0.478
3	1	48	1	0.4952	0.4952	1	1	0.478
