sub	sess	t	loc	co1	co2	or	resp	rt
2	1	1	2	1.0000	1.0000	1	1	3.831
2	1	2	1	1.0000	1.0000	1	1	1.793
2	1	3	1	1.0000	1.0000	1	1	2.992
2	1	4	2	1.0000	1.0000	0	1	1.284
2	1	5	1	1.0000	1.0000	0	1	1.727
2	1	6	2	1.0000	1.0000	0	0	2.202
2	1	7	2	1.0000	1.0000	1	1	1.186
2	1	8	1	1.0000	1.0000	0	1	1.298
2	1	9	2	1.0000	1.0000	1	1	1.736
2	1	10	1	1.0000	1.0000	1	1	1.140
2	1	11	1	1.0000	1.0000	0	1	1.714
2	1	12	1	1.0000	1.0000	0	1	1.202
2	1	13	2	1.0000	1.0000	0	1	0.868
2	1	14	1	1.0000	1.0000	1	1	0.809
2	1	15	2	1.0000	1.0000	0	1	0.967
2	1	16	1	1.0000	1.0000	0	1	0.739
2	1	17	2	1.0000	1.0000	0	1	0.828
2	1	18	2	1.0000	1.0000	0	1	0.757
2	1	19	2	1.0000	1.0000	1	1	0.791
2	1	20	2	1.0000	1.0000	1	1	0.804
2	1	21	1	1.0000	1.0000	0	1	0.827
2	1	22	2	1.0000	1.0000	1	0	1.675
2	1	23	2	1.0000	1.0000	1	1	0.731
2	1	24	1	1.0000	1.0000	1	1	1.310
2	1	25	1	1.0000	1.0000	1	1	1.077
2	1	26	2	1.0000	1.0000	0	1	0.738
2	1	27	2	1.0000	1.0000	0	1	0.694
2	1	28	1	1.0000	1.0000	0	1	0.761
2	1	29	1	0.2500	0.2500	0	1	0.761
2	1	30	2	0.2629	0.2629	1	1	0.761
2	1	31	2	0.2758	0.2758	1	1	0.761
2	1	32	2	0.2887	0.2887	1	1	0.761
2	1	33	1	0.3016	0.3016	1	1	0.761
2	1	34	1	0.3145	0.3145	0	1	0.761
2	1	35	1	0.3274	0.3274	0	1	0.761
2	1	36	2	0.3403	0.3403	0	1	0.761
2	1	37	2	0.3532	0.3532	1	1	0.761
2	1	38	1	0.3661	0.3661	1	1	0.761
2	1	39	2	0.3790	0.3790	1	1	0.761
2	1	40	2	0.3919	0.3919	1	1	0.761
2	1	41	2	0.4048	0.4048	0	1	0.761
2	1	42	1	0.4177	0.4177	0	1	0.761
2	1	43	2	0.4306	0.4306	1	1	0.761
2	1	44	2	0.4435	0.4435	0	1	0.761
2	1	45	1	0.4565	0.4565	0	1	0.761
2	1	46	1	0.4694	0.4694	1	1	0.761
2	1	47	1	0.4823	0.4823	0	1	0.761
2	1	48	2	0.4952	0.4952	1	1	0.761
2	1	49	2	0.5081	0.5081	0	1	0.761
2	1	50	2	0.5210	0.5210	1	1	0.761
2	1	51	1	0.5339	0.5339	1	1	0.761
2	1	52	1	0.5468	0.5468	0	1	0.761
2	1	53	2	0.5597	0.5597	1	1	0.761
2	1	54	1	0.5726	0.5726	1	1	0.761
2	1	55	1	0.5855	0.5855	1	1	0.761
2	1	56	1	0.5984	0.5984	1	1	0.761
2	1	57	2	0.6113	0.6113	0	1	0.761
2	1	58	1	0.6242	0.6242	1	1	0.761
2	1	59	1	0.6371	0.6371	0	1	0.761
